"Date","Price","Open","High","Low","Vol.","Change %"
"08/11/2021","21,394.8","21,394.8","21,394.8","21,345.8","723.00K","6.85%"
"08/10/2021","20,024.0","19,093.8","20,024.0","19,044.8","576.70K","6.79%"
"08/09/2021","18,751.0","19,583.3","19,583.3","18,506.3","255.30K","-3.77%"
"08/06/2021","19,485.4","19,289.6","19,779.2","18,604.2","203.70K","-0.50%"
"08/05/2021","19,583.3","20,366.7","20,366.7","19,583.3","221.00K","-3.85%"
"08/04/2021","20,366.7","20,072.9","21,247.9","19,387.5","2.35M","1.96%"
"08/03/2021","19,975.0","20,464.6","20,464.6","18,897.9","2.32M","2.51%"
"08/02/2021","19,485.4","18,506.3","19,485.4","18,212.5","214.50K","3.92%"
"07/30/2021","18,751.0","17,135.4","18,849.0","16,401.0","346.70K","6.39%"
"07/29/2021","17,625.0","16,988.5","17,918.8","16,988.5","351.90K","-1.64%"
"07/28/2021","17,918.8","17,429.2","18,016.7","17,086.5","330.60K","-1.08%"
"07/27/2021","18,114.6","17,527.1","18,114.6","17,282.3","240.70K","-2.37%"
"07/26/2021","18,555.2","16,547.9","18,751.0","16,547.9","377.40K","5.87%"
"07/23/2021","17,527.1","16,939.6","17,527.1","16,401.0","264.50K","6.87%"
"07/22/2021","16,401.0","15,275.0","16,401.0","14,981.3","475.50K","6.69%"
"07/21/2021","15,372.9","15,372.9","15,519.8","14,344.8","353.30K","0.00%"
"07/20/2021","15,372.9","15,275.0","15,421.9","15,128.1","125.50K","0.96%"
"07/19/2021","15,226.0","15,128.1","15,568.8","14,981.3","285.30K","0.65%"
"07/16/2021","15,128.1","14,638.5","15,226.0","13,610.4","781.60K","5.82%"
"07/15/2021","14,295.8","12,729.2","14,295.8","12,729.2","168.60K","6.96%"
"07/14/2021","13,365.6","13,610.4","14,295.8","13,365.6","69.40K","-6.51%"
"07/13/2021","14,295.8","12,876.0","14,295.8","12,876.0","431.30K","3.55%"
"07/12/2021","13,806.3","15,666.7","15,666.7","13,806.3","139.40K","-6.93%"
"07/09/2021","14,834.4","13,708.3","14,834.4","13,218.8","618.00K","4.48%"
"07/08/2021","14,197.9","13,855.2","14,197.9","13,316.7","634.90K","3.57%"
"07/07/2021","13,708.3","13,022.9","13,904.2","12,141.7","383.10K","5.26%"
"07/06/2021","13,022.9","13,512.5","13,610.4","12,631.3","562.10K","2.31%"
"07/05/2021","12,729.2","13,512.5","13,512.5","12,582.3","215.20K","-3.70%"
"07/02/2021","13,218.8","12,386.5","13,708.3","12,386.5","314.10K","-0.74%"
"07/01/2021","13,316.7","12,827.1","13,512.5","12,582.3","176.00K","-1.45%"
